,40_45dBZ,45_50dBZ,50_55dBZ,55_60dBZ,60_65dBZ,65_70dBZ,70_75dBZ,75_80dBZ,80+dBZ,Date,Region,Time(UTC)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 13:02:50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 13:02:50
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 13:02:50
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 13:20:15
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 13:20:15
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 13:20:15
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 13:37:42
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 13:37:42
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 13:37:42
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 13:55:06
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 13:55:06
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 13:55:06
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 14:12:35
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 14:12:35
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 14:12:35
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 14:30:03
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 14:30:03
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 14:30:03
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 14:47:22
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 14:47:22
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 14:47:22
0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 15:04:47
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 15:04:47
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 15:04:47
0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 15:22:13
1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 15:22:13
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 15:22:13
0,18.0,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 15:39:30
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 15:39:30
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 15:39:30
0,35.0,33.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 15:56:53
1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 15:56:53
2,13.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 15:56:53
0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 16:14:13
1,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 16:14:13
2,17.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 16:14:13
0,72.0,65.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 16:31:38
1,66.0,62.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 16:31:38
2,7.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_west_1,2013-06-01 16:31:38
0,78.0,84.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_1,2013-06-01 16:49:00
1,150.0,170.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,01-Jun-2013,miami_east_2,2013-06-01 16:49:00
