,40_45dBZ,45_50dBZ,50_55dBZ,55_60dBZ,60_65dBZ,65_70dBZ,70_75dBZ,75_80dBZ,80+dBZ,Date,Region,Time(UTC)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 13:03:09
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 13:03:09
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 13:24:26
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 13:24:26
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 13:44:03
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 13:44:03
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 14:03:26
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 14:03:26
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 14:24:03
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 14:24:03
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 14:43:10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 14:43:10
0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 15:02:18
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 15:02:18
0,55.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 15:21:25
1,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 15:21:25
0,43.0,68.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 15:40:34
1,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 15:40:34
0,61.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 15:59:41
1,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 15:59:41
0,76.0,76.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 16:19:18
1,13.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 16:19:18
0,95.0,107.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 16:34:47
1,48.0,45.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 16:34:47
0,140.0,153.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 16:51:05
1,62.0,135.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 16:51:05
0,146.0,105.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 17:06:49
1,75.0,63.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 17:06:49
0,100.0,107.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 17:22:47
1,48.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 17:22:47
0,171.0,245.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 17:39:00
1,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 17:39:00
0,274.0,320.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_1,2013-06-05 17:55:57
1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-Jun-2013,mlb_east_2,2013-06-05 17:55:57
